Wavelength (nm),Normailze Light Intensity (a.u.)
300,0.0173413
301,0.0220175
302,0.031405
303,0.0420351
304,0.0450334
305,0.0338401
306,0.0186872
307,0.00804884
308,0
309,0
310,0
311,0.00170349
312,0.0021745
313,0.00151169
314,0.0123359
315,0.0130284
316,0
317,0
318,6.96E-05
319,0.0161542
320,0.0199989
321,0.011049
322,0.000507631
323,0.00707179
324,0.0317198
325,0.0675268
326,0.0885707
327,0.0773634
328,0.0827951
329,0.119664
330,0.123609
331,0.0998968
332,0.107104
333,0.12124
334,0.0868612
335,0.0430727
336,0.0339205
337,0.0286988
338,0.0111865
339,0.024512
340,0.0632717
341,0.0542478
342,0.020276
343,0.0325299
344,0.0713802
345,0.102496
346,0.100628
347,0.0522964
348,0.0338888
349,0.0701538
350,0.0755555
351,0.0533142
352,0.056277
353,0.0796473
354,0.110026
355,0.121445
356,0.0913827
357,0.07241
358,0.0930551
359,0.100769
360,0.0841039
361,0.096353
362,0.113806
363,0.0754735
364,0.0283876
365,0.040101
366,0.0637092
367,0.0657839
368,0.0605202
369,0.0528704
370,0.0490079
371,0.0487728
372,0.0426114
373,0.0362601
374,0.0399847
375,0.0488407
376,0.0562143
377,0.0581141
378,0.0513179
379,0.0419719
380,0.0330887
381,0.015795
382,0.00456351
383,0.0241411
384,0.0512605
385,0.0557902
386,0.0510727
387,0.0475662
388,0.0425498
389,0.0380413
390,0.0416777
391,0.0467071
392,0.0380349
393,0.0250446
394,0.022962
395,0.0220915
396,0.0163282
397,0.00981737
398,0.00474838
399,0.00474738
400,0.00939683
401,0.0131479
402,0.0184773
403,0.0311382
404,0.0396197
405,0.0364102
406,0.0345027
407,0.038764
408,0.0461929
409,0.0496705
410,0.0339525
411,0.0107414
412,0.00349187
413,0.00390792
414,0.0014919
415,0
416,0
417,0
418,0
419,0.000418517
420,0.00735399
421,0.032473
422,0.0489116
423,0.0338485
424,0.0177241
425,0.0173839
426,0.0174505
427,0.0149815
428,0.0159887
429,0.0143099
430,0.000308888
431,0
432,0
433,0.00206541
434,3.17E-05
435,0
436,0
437,0
438,0
439,0.00150002
440,0.0177108
441,0.0153529
442,0.0146853
443,0.0232797
444,0.0198627
445,0.00876773
446,0.00778737
447,0.0156485
448,0.0266092
449,0.0307626
450,0.0215772
451,0.0144239
452,0.0164878
453,0.0186486
454,0.0191266
455,0.0191207
456,0.0174983
457,0.0139068
458,0.0118618
459,0.0134235
460,0.0159731
461,0.0178597
462,0.0185304
463,0.0187838
464,0.0202166
465,0.022297
466,0.0236458
467,0.0209602
468,0.0134887
469,0.00512361
470,0
471,0.00188494
472,0.00757888
473,0.00977135
474,0.00745796
475,0.00189323
476,0.0037712
477,0.0166591
478,0.0230976
479,0.0217716
480,0.0234735
481,0.0256379
482,0.0235684
483,0.0190811
484,0.0133374
485,0.013969
486,0.0209993
487,0.0180812
488,0.00974061
489,0.0110921
490,0.0165052
491,0.0179696
492,0.015782
493,0.0106527
494,0.0110924
495,0.0162997
496,0.0149442
