Wavelength (%),EQE(%)
600 ,84.19341259
610 ,83.62890412
620 ,83
630 ,83.32274863
640 ,83.61290323
650 ,83.8710692
660 ,84.09667925
670 ,84.29015264
680 ,83.90319874
690 ,83.46780925
700 ,83.54831972
710 ,83.02413998
720 ,82.45171929
730 ,81.83065176
740 ,80.56430822
750 ,79.83887064
760 ,79.06446512
770 ,78.86288415
780 ,77.37114245
790 ,77.08872211
800 ,76.12903226
810 ,74.46794612
820 ,72.08041264
830 ,66.93530034
840 ,60.15485811
850 ,49.90334654
860 ,38.21452846
870 ,27.15236899
880 ,17.60001135
890 ,10.69434276
900 ,6.343538156
910 ,3.551928609
920 ,1.936445991
930 ,1.057502644
940 ,0.559451162
950 ,0.297258784
960 ,0.162580226
970 ,0.087612939
980 ,0.048525658
990 ,0.027783766
1000 ,0.015887097
1010 ,0.00863389
1020 ,0.005132887
1030 ,0.00306509
1040 ,0.001878706
1050 ,0.001117744
1060 ,6.72E-04
1070 ,3.95E-04
1080 ,2.45E-04
1090 ,1.50E-04
1100 ,8.07E-05
1110 ,4.98E-05
1120 ,3.28E-05
1130 ,2.45E-05
1140 ,2.17E-05
1150 ,1.85E-05
1160 ,1.35E-05
1170 ,1.61E-05
1180 ,1.28E-05
1190 ,1.48E-05
1250 ,1.70E-05
1260 ,2.47E-05
1270 ,1.11E-05
1290 ,1.06E-05
1320 ,2.33E-05
1350 ,1.39E-05
1380 ,2.24E-05
1390 ,1.59E-05
1410 ,1.26E-05
1420 ,2.38E-05
1430 ,1.56E-05
1450 ,1.33E-05
1460 ,1.35E-05
1470 ,2.44E-05
1490 ,2.37E-05
1500 ,2.20E-05
1510 ,1.56E-05
1520 ,1.43E-05
1540 ,1.69E-05
1550 ,1.36E-05
1580 ,2.32E-05
1630 ,2.30E-05
1640 ,1.68E-05
1660 ,2.09E-05
1670 ,1.99E-05
1700 ,1.95E-05
1710 ,1.79E-05
1730 ,2.34E-05
1770 ,2.60E-05
1800 ,1.86E-05
